V,I
0.6403,0.000564285
0.6404,0.000566471
0.6405,0.000568665
0.6406,0.000570868
0.6407,0.000573079
0.6408,0.0005753
0.6409,0.000577528
0.641,0.000579765
0.6411,0.000582011
0.6412,0.000584266
0.6413,0.000586529
0.6414,0.000588801
0.6415,0.000591082
0.6416,0.000593372
0.6417,0.000595671
0.6418,0.000597978
0.6419,0.000600295
0.642,0.00060262
0.6421,0.000604955
0.6422,0.000607298
0.6423,0.000609651
0.6424,0.000612012
0.6425,0.000614383
0.6426,0.000616763
0.6427,0.000619152
0.6428,0.000621551
0.6429,0.000623959
0.643,0.000626376
0.6431,0.000628802
0.6432,0.000631238
0.6433,0.000633683
0.6434,0.000636138
0.6435,0.000638603
0.6436,0.000641076
0.6437,0.00064356
0.6438,0.000646053
0.6439,0.000648556
0.644,0.000651068
0.6441,0.00065359
0.6442,0.000656122
0.6443,0.000658664
0.6444,0.000661215
0.6445,0.000663777
0.6446,0.000666348
0.6447,0.000668929
0.6448,0.000671521
0.6449,0.000674122
0.645,0.000676733
0.6451,0.000679355
0.6452,0.000681987
0.6453,0.000684629
0.6454,0.000687281
0.6455,0.000689943
0.6456,0.000692616
0.6457,0.000695299
0.6458,0.000697992
0.6459,0.000700696
0.646,0.000703411
0.6461,0.000706136
0.6462,0.000708871
0.6463,0.000711617
0.6464,0.000714374
0.6465,0.000717141
0.6466,0.000719919
0.6467,0.000722708
0.6468,0.000725508
0.6469,0.000728318
0.647,0.00073114
0.6471,0.000733972
0.6472,0.000736815
0.6473,0.00073967
0.6474,0.000742535
0.6475,0.000745411
0.6476,0.000748299
0.6477,0.000751198
0.6478,0.000754108
0.6479,0.000757029
0.648,0.000759962
0.6481,0.000762906
0.6482,0.000765861
0.6483,0.000768828
0.6484,0.000771806
0.6485,0.000774796
0.6486,0.000777797
0.6487,0.00078081
0.6488,0.000783835
0.6489,0.000786872
0.649,0.00078992
0.6491,0.00079298
0.6492,0.000796052
0.6493,0.000799136
0.6494,0.000802231
0.6495,0.000805339
0.6496,0.000808459
0.6497,0.000811591
0.6498,0.000814735
0.6499,0.000817891
0.65,0.000821059
0.6501,0.00082424
0.6502,0.000827433
0.6503,0.000830638
0.6504,0.000833856
0.6505,0.000837086
0.6506,0.000840329
0.6507,0.000843584
0.6508,0.000846852
0.6509,0.000850132
0.651,0.000853426
0.6511,0.000856732
0.6512,0.000860051
0.6513,0.000863382
0.6514,0.000866727
0.6515,0.000870084
0.6516,0.000873455
0.6517,0.000876839
0.6518,0.000880235
0.6519,0.000883645
0.652,0.000887068
0.6521,0.000890505
0.6522,0.000893954
0.6523,0.000897417
0.6524,0.000900894
0.6525,0.000904384
0.6526,0.000907887
0.6527,0.000911404
0.6528,0.000914935
0.6529,0.000918479
0.653,0.000922037
0.6531,0.000925609
0.6532,0.000929195
0.6533,0.000932794
0.6534,0.000936408
0.6535,0.000940035
0.6536,0.000943677
0.6537,0.000947332
0.6538,0.000951002
0.6539,0.000954686
0.654,0.000958384
0.6541,0.000962097
0.6542,0.000965824
0.6543,0.000969566
0.6544,0.000973321
0.6545,0.000977092
0.6546,0.000980877
0.6547,0.000984677
0.6548,0.000988491
0.6549,0.000992321
0.655,0.000996165
0.6551,0.00100002
0.6552,0.0010039
0.6553,0.00100779
0.6554,0.00101169
0.6555,0.00101561
0.6556,0.00101954
0.6557,0.00102349
0.6558,0.00102746
0.6559,0.00103144
0.656,0.00103543
0.6561,0.00103945
0.6562,0.00104347
0.6563,0.00104751
0.6564,0.00105157
0.6565,0.00105565
0.6566,0.00105973
0.6567,0.00106384
0.6568,0.00106796
0.6569,0.0010721
0.657,0.00107625
0.6571,0.00108042
0.6572,0.00108461
0.6573,0.00108881
0.6574,0.00109303
0.6575,0.00109726
0.6576,0.00110151
0.6577,0.00110578
0.6578,0.00111006
0.6579,0.00111436
0.658,0.00111868
